FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1
Concat,0.5721245943476136,0.5725739768314994,0.1451080624908446,0.45241581709577017,0.6927321365672285,0.5874475278597137,0.4752783174677164
Edges,0.5693633696893506,0.5698384997679803,0.13963432700222625,0.45009541800973557,0.6895815815262251,0.5783342507841063,0.47031710800710314
Nodes,0.5203844928410508,0.5207091095548537,0.04138495889393037,0.4333888546635822,0.6080293644461252,0.5117083455582843,0.44073854079598734
