subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count
31,CMI,edges,171,30.0,70.0,52,52,13
31,CMI,ns,19,30.0,70.0,6,6,2
34,CMI,edges,171,30.0,70.0,52,52,16
34,CMI,ns,19,30.0,70.0,6,6,1
39,CMI,edges,171,30.0,70.0,52,52,14
39,CMI,ns,19,30.0,70.0,6,6,3
1,CFC,edges,171,30.0,70.0,52,52,14
1,CFC,ns,19,30.0,70.0,6,6,1
2,CFC,edges,171,30.0,70.0,52,52,29
2,CFC,ns,19,30.0,70.0,6,6,3
5,CFC,edges,171,30.0,70.0,52,52,18
5,CFC,ns,19,30.0,70.0,6,6,2
9,CFC,edges,171,30.0,70.0,52,52,9
9,CFC,ns,19,30.0,70.0,6,6,2
21,CFC,edges,171,30.0,70.0,52,52,13
21,CFC,ns,19,30.0,70.0,6,6,1
31,CFC,edges,171,30.0,70.0,52,52,14
31,CFC,ns,19,30.0,70.0,6,6,3
34,CFC,edges,171,30.0,70.0,52,52,16
34,CFC,ns,19,30.0,70.0,6,6,2
39,CFC,edges,171,30.0,70.0,52,52,17
39,CFC,ns,19,30.0,70.0,6,6,2
