metric,class,electrode,mean_rho_distance_vs_metric,std_rho_across_subjects,t_vs_0,p_vs_0,n_subjects
PLV,L,FP1,-0.7817337461300309,0.20137263654822804,-10.270874529825303,1.7933252535809402e-05,8
PLV,L,FP2,-0.8338493292053664,0.09841868877183484,-22.41604702832394,8.895424466390865e-08,8
PLV,L,F7,-0.8204334365325077,0.06512186817041694,-33.33231833378487,5.665392863446106e-09,8
PLV,L,F3,-0.7592879256965943,0.21713296972444776,-9.251874680462633,3.563477137198366e-05,8
PLV,L,Fz,-0.831742896691729,0.21537888896116475,-10.217272779170074,1.8564392825030317e-05,8
PLV,L,F4,-0.7796697626418989,0.2033540975518555,-10.143942618029632,1.9469064803877098e-05,8
PLV,L,F8,-0.8384932920536636,0.04468357413998406,-49.64787999769072,3.520777083520213e-10,8
PLV,L,T7,-0.8272619761582516,0.1133222134019711,-19.314213800703154,2.4860641765334926e-07,8
PLV,L,C3,-0.8245781781754679,0.10864587055742436,-20.080181462855546,1.9017023090403191e-07,8
PLV,L,Cz,-0.8531249533586516,0.04852042009454032,-46.51972220052053,5.545642879426362e-10,8
PLV,L,C4,-0.8597933241110507,0.0811808391451746,-28.02138212002714,1.8938923972170422e-08,8
PLV,L,T8,-0.8600785530666064,0.07869478093948627,-28.916199171382623,1.522374527213058e-08,8
PLV,L,P7,-0.8539731682146543,0.055370468533174004,-40.80515641770727,1.3838890870435652e-09,8
PLV,L,P3,-0.9195046439628483,0.0433682175220861,-56.095932835047805,1.5005595105951895e-10,8
PLV,L,Pz,-0.9534663619556676,0.028611923310500595,-88.16725984563172,6.3592754080442496e-12,8
PLV,L,P4,-0.9104747162022704,0.08629905623521993,-27.91327946295911,1.9454203561683127e-08,8
PLV,L,P8,-0.8764189886480909,0.0545340753324351,-42.51995975218176,1.0384936720278325e-09,8
PLV,L,O1,-0.9011867905056758,0.049021644626633346,-48.63802817417287,4.063976956268387e-10,8
PLV,L,O2,-0.8996388028895769,0.07092222013090928,-33.56099876507293,5.4020605559887666e-09,8
PLV,R,FP1,-0.7765737874097007,0.18688669560879062,-10.993939988529428,1.1417973884571627e-05,8
PLV,R,FP2,-0.8495872033023735,0.09564418810593271,-23.501652337843673,6.413100085066256e-08,8
PLV,R,F7,-0.7912796697626419,0.06126622615236148,-34.17101648283215,4.765337510844272e-09,8
PLV,R,F3,-0.7371001031991744,0.20592292380713065,-9.47045393669537,3.0588799164679e-05,8
PLV,R,Fz,-0.8282454573192516,0.21548345210068387,-10.1693725584172,1.9149788741931383e-05,8
PLV,R,F4,-0.7997936016511867,0.18738821860576274,-11.292358643963453,9.550751213257854e-06,8
PLV,R,F8,-0.8658410732714139,0.02671244397429266,-85.75778977715481,7.719243048343333e-12,8
PLV,R,T7,-0.8165384490582774,0.12175356708529,-17.743690996890674,4.4539898432888296e-07,8
PLV,R,C3,-0.8081358122423097,0.1252364532601866,-17.07271588341972,5.802088622875187e-07,8
PLV,R,Cz,-0.8491704186551967,0.040677707395725744,-55.23157258145596,1.6725009820163596e-10,8
PLV,R,C4,-0.8629005428700727,0.07925681651512381,-28.805348776293517,1.563548945719182e-08,8
PLV,R,T8,-0.8626625355003352,0.08239612576489828,-27.700216643907318,2.051736263474744e-08,8
PLV,R,P7,-0.8477812177502579,0.05412548285905811,-41.441076363225505,1.2424007848780782e-09,8
PLV,R,P3,-0.9135706914344686,0.04523653733830728,-53.43204844651302,2.107917512886733e-10,8
PLV,R,Pz,-0.9486835182202609,0.028625644306066126,-87.68294034816634,6.609062179457745e-12,8
PLV,R,P4,-0.9161506707946336,0.07724744288932273,-31.37847348371764,8.625415030597725e-09,8
PLV,R,P8,-0.8841589267285862,0.05812631088496407,-40.24450552540969,1.5240588580567014e-09,8
PLV,R,O1,-0.8970588235294117,0.04724040136756705,-50.24077886189293,3.240699229582147e-10,8
PLV,R,O2,-0.9009287925696594,0.07215829146094258,-33.033397629809656,6.0320114716039444e-09,8
ImagPLV,L,FP1,0.490970072239422,0.21606352888406694,6.0120498773206785,0.0005357859355974183,8
ImagPLV,L,FP2,0.5802373581011352,0.13120888286454965,11.70015106758833,7.53389031547987e-06,8
ImagPLV,L,F7,0.22291021671826625,0.29281299545496225,2.0141353262538413,0.08385268675621824,8
ImagPLV,L,F3,0.34674922600619196,0.26188404531692955,3.503123751606445,0.00995108038586455,8
ImagPLV,L,Fz,0.5474140291884826,0.2822530709635185,5.131286545356224,0.001351721322656992,8
ImagPLV,L,F4,0.3268833849329206,0.2163898378760247,3.9967317908292994,0.005211553466348111,8
ImagPLV,L,F8,0.1782765737874097,0.2421938361448896,1.9475123163248804,0.09250588685295588,8
ImagPLV,L,T7,0.0711887160492264,0.3540630917910726,0.5319606679913047,0.6112118991152196,8
ImagPLV,L,C3,-0.11561443132527757,0.1457809791659231,-2.098264362106456,0.07406075538316607,8
ImagPLV,L,Cz,0.16978135660165997,0.14487204589888775,3.100661994769381,0.017306218730479737,8
ImagPLV,L,C4,-0.15212425174378627,0.14183057028845633,-2.8377728276581617,0.02512466862701674,8
ImagPLV,L,T8,-0.09366936322266632,0.2816156488783682,-0.8800144506884008,0.40804584478169015,8
ImagPLV,L,P7,-0.0007739938080495445,0.3588000031168966,-0.005707344243628083,0.9956054697844627,8
ImagPLV,L,P3,0.1805985552115583,0.3051730633730014,1.565730798603714,0.16139263136179702,8
ImagPLV,L,Pz,0.2966655776421173,0.3391284578056847,2.3144720619232233,0.053830987354831175,8
ImagPLV,L,P4,0.1953044375644995,0.2401669791571323,2.1515321280072053,0.0684585749390554,8
ImagPLV,L,P8,0.13828689370485037,0.24639761920831627,1.484887441275686,0.1811523930987595,8
ImagPLV,L,O1,0.19298245614035087,0.4336232336605429,1.1774820782446884,0.27748157639612236,8
ImagPLV,L,O2,0.3106295149638803,0.3386096857450382,2.4271262195667633,0.04561252085393406,8
ImagPLV,R,FP1,0.5773993808049536,0.19640337530948374,7.778151298903991,0.00010902998332307762,8
ImagPLV,R,FP2,0.5575335397316822,0.3468397246331331,4.252958899871835,0.0037792944585994352,8
ImagPLV,R,F7,0.2195562435500516,0.24928195288097058,2.330257816546932,0.05259393114463458,8
ImagPLV,R,F3,0.39680082559339525,0.23010812627244348,4.562360841191032,0.002597609595155972,8
ImagPLV,R,Fz,0.5842019099952807,0.23204349305691768,6.661048534195787,0.00028757346960675133,8
ImagPLV,R,F4,0.41434468524251805,0.20389281602070383,5.376614123087696,0.0010341284517493142,8
ImagPLV,R,F8,0.337203302373581,0.30692072516639635,2.9067964663074846,0.022764250405336594,8
ImagPLV,R,T7,0.16847565467911294,0.3986491188192799,1.1181378892042608,0.30040728228231695,8
ImagPLV,R,C3,-0.13361040663794674,0.21752010890810547,-1.6251366841838142,0.14816098875361325,8
ImagPLV,R,Cz,0.105717894405692,0.16546051282957336,1.6904532262325684,0.13478583008601214,8
ImagPLV,R,C4,-0.06059076580092933,0.26999945130436337,-0.5937349030961739,0.5713687522792319,8
ImagPLV,R,T8,-0.004392770137338839,0.27362153463817157,-0.04247537521284066,0.9673059221503559,8
ImagPLV,R,P7,-0.05572755417956657,0.29066647918629845,-0.5072523324525183,0.6275640022343354,8
ImagPLV,R,P3,0.12383900928792571,0.2872276085886137,1.1407232849045073,0.2915049256421339,8
ImagPLV,R,Pz,0.3543182345608032,0.2673786547915738,3.50603130363598,0.00991219494484359,8
ImagPLV,R,P4,0.21671826625386997,0.21922963778371465,2.6154430708794196,0.03463798455349728,8
ImagPLV,R,P8,0.11919504643962847,0.278805419121719,1.1311130586467326,0.29526611024828814,8
ImagPLV,R,O1,0.1318369453044376,0.35848894443009344,0.9729944990088397,0.36297052685517056,8
ImagPLV,R,O2,0.3059855521155831,0.3418771527328474,2.3679899905719677,0.049753081647010346,8
PLI,L,FP1,0.3851909184726522,0.26560395695865274,3.836988685066323,0.0063994891424259395,8
PLI,L,FP2,0.39241486068111453,0.29774873264785096,3.486940558555493,0.010170544689055544,8
PLI,L,F7,0.10190918472652219,0.17944030025832425,1.5025964552643,0.17664391757261141,8
PLI,L,F3,0.2966976264189886,0.25304586975587395,3.1021574659373363,0.017269972840854592,8
PLI,L,Fz,0.5213775360822628,0.22568897700620638,6.112107547066149,0.00048526117690240875,8
PLI,L,F4,0.21078431372549017,0.3382823247965756,1.648572312273263,0.14322482136094747,8
PLI,L,F8,-0.034313725490196095,0.35693406044964404,-0.25434833562487863,0.8065363960722582,8
PLI,L,T7,-0.00581396047588964,0.4749983701148521,-0.0323838870180615,0.9750699404976795,8
PLI,L,C3,-0.1754283924364514,0.2956015737994785,-1.5701536812572736,0.16037098508294348,8
PLI,L,Cz,0.018718130929686116,0.1665457557795854,0.2973568387623008,0.7748247150779197,8
PLI,L,C4,-0.23187619989201802,0.28666347240727236,-2.140093939130761,0.06962465289484014,8
PLI,L,T8,-0.1709304379911552,0.39863804340389764,-1.1344612936446143,0.29395120255390084,8
PLI,L,P7,-0.316047471620227,0.32009871607745294,-2.612266061684349,0.03479842823084321,8
PLI,L,P3,-0.31011351909184726,0.207165113412239,-3.96052808410567,0.00545798159994651,8
PLI,L,Pz,-0.23099842581545255,0.336188732058654,-1.8179205002280143,0.11190897895449346,8
PLI,L,P4,-0.3379772961816305,0.3147063011392778,-2.841391707905053,0.02499471875228927,8
PLI,L,P8,-0.3320433436532507,0.20223072392970204,-4.344068471545588,0.003379235510910545,8
PLI,L,O1,-0.35319917440660475,0.41349648824086127,-2.2599398189057256,0.05833655890211163,8
PLI,L,O2,-0.283797729618163,0.37982624026152034,-1.976846609379656,0.08859265628136684,8
PLI,R,FP1,0.4496904024767802,0.2508948680308436,4.742101666981252,0.002102728739891518,8
PLI,R,FP2,0.574045407636739,0.08821530078434965,17.216756915881394,5.477363539234097e-07,8
PLI,R,F7,0.23813209494324045,0.1934824554791335,3.256307146001585,0.013935291674023706,8
PLI,R,F3,0.3222394220846233,0.2732244430604292,3.1203847060950025,0.016834638414487995,8
PLI,R,Fz,0.5625695998025508,0.1319917576022804,11.27660759490459,9.640157758912883e-06,8
PLI,R,F4,0.2069143446852425,0.19903733981256466,2.7504582770478345,0.02848514130722509,8
PLI,R,F8,0.13338493292053666,0.3786895603185972,0.9319067598638564,0.3824020768633053,8
