subject,metric,mean_kl_edges,std_kl_edges,mean_kl_ns,std_kl_ns,mean_kl_clust,std_kl_clust
1,PLV,0.33379758654991415,0.21318138245695417,0.27042026306542855,0.1618767609243235,0.22062834399863265,0.13309791699524331
2,PLV,0.5300017001688297,0.21732378994924595,0.7182974397613753,0.25149196166103027,0.7273441928675747,0.1724729531926099
5,PLV,0.5401096158324138,0.2507932170697637,0.4782198917585588,0.2718586495912338,0.5149232807103268,0.27844904450758345
9,PLV,0.5061285950236755,0.30324698245663584,0.4606161723513129,0.21346895514140019,0.4331404477170649,0.21131429060042195
21,PLV,0.5852296859687601,0.32527061113936584,0.5666872455061965,0.3832484543263504,0.4605421680256871,0.17274382533123958
31,PLV,0.6249535254923815,0.410671826653114,0.490424753091516,0.35243338358042325,0.5515438334390759,0.31745601613134566
34,PLV,0.5629387347532934,0.334472625546211,0.6441521751799383,0.32704016966855687,0.4864535754880272,0.2192082981363135
39,PLV,0.9196336175006847,0.6627817859173868,1.0226828227200475,0.6161641450958218,0.9354559188415329,0.5396061949240157
1,ImagPLV,0.5738805865215213,0.27285920224840426,0.45609307915091873,0.1761152484501293,0.48948358162319555,0.2590613959523751
2,ImagPLV,0.4996450185693391,0.21752553521180695,0.639283014181396,0.38194962313751185,0.44729078629806496,0.25008645153486464
5,ImagPLV,0.5692567999686369,0.29290306027755186,0.4686728472896465,0.2121454560871175,0.5105150842731918,0.38485457705077364
9,ImagPLV,0.6459965737314391,0.30387051696684425,0.6223377470952677,0.34794066431771464,0.5351863581610857,0.31908064716054935
21,ImagPLV,0.5587964139657314,0.2781688449224297,0.6068169153918617,0.27938609559646754,0.3560996430958209,0.1582364435108667
31,ImagPLV,0.6150395612408678,0.30173513840275945,0.6268956648854899,0.3415855142101023,0.3957575387933613,0.2490827108869421
34,ImagPLV,0.657343820950495,0.3259105446440959,0.6550356260961159,0.2764518546699647,0.5870607507601426,0.29838960756857663
39,ImagPLV,0.7802286428296762,0.4228771312510227,0.5197877043609359,0.19108551016259387,0.49861742417252364,0.27043096917023773
1,PLI,0.5318418226205587,0.30406517487343887,0.4786728451817775,0.20885466271577194,0.3742804365899146,0.21345332613237195
2,PLI,0.48355109101061605,0.22761285819770702,0.5031775089655097,0.2464238593438184,0.3460813733206148,0.19608512037180215
