subject,metric,feature_type,i_idx,j_idx,i_label,j_label,cv,kl
21,PLV,edges,3,4.0,F3,Fz,0.029852146305546036,1.1126213186839329
21,PLV,edges,3,6.0,F3,F8,0.10442191148531138,0.7572775454886811
21,PLV,edges,4,6.0,Fz,F8,0.07704423409180283,1.132631817406212
21,PLV,edges,5,9.0,F4,Cz,0.06239354693597893,1.186161922948992
21,PLV,edges,9,10.0,Cz,C4,0.05862402331053586,1.6364393392532428
21,PLV,edges,9,13.0,Cz,P3,0.10450366771198288,0.7735307664262703
21,PLV,edges,9,14.0,Cz,Pz,0.06579814029321646,0.8265516532756558
21,PLV,edges,10,15.0,C4,P4,0.06648224751522204,0.9297381224006604
21,PLV,edges,12,13.0,P7,P3,0.054789431324712354,0.7564852017795473
21,PLV,edges,14,15.0,Pz,P4,0.04484594506416713,0.6857960623249576
21,PLV,edges,15,16.0,P4,P8,0.050172576082654144,1.0689227841052173
21,PLV,edges,15,18.0,P4,O2,0.06278749198683996,1.437508438369268
21,PLV,ns,8,,C3,,0.09512542561108941,0.8665103926584776
21,PLV,ns,10,,C4,,0.09592962623631997,0.9054303350581059
31,PLV,edges,3,4.0,F3,Fz,0.046986521363995996,1.6369892200017535
31,PLV,edges,3,8.0,F3,C3,0.119161650599824,1.9127097451556112
31,PLV,edges,5,9.0,F4,Cz,0.07866215001750186,1.2049201097335713
31,PLV,edges,5,11.0,F4,T8,0.12738090114385908,0.7656228525949373
31,PLV,edges,7,8.0,T7,C3,0.0768649350848025,0.7834967645168665
31,PLV,edges,8,9.0,C3,Cz,0.06795206728506997,0.8270526550402164
31,PLV,edges,9,13.0,Cz,P3,0.09806025690235326,1.0137625584880405
31,PLV,edges,9,14.0,Cz,Pz,0.07385161710514068,0.8073296357880968
31,PLV,edges,10,15.0,C4,P4,0.060309362767660704,1.0339046135275838
31,PLV,edges,11,15.0,T8,P4,0.09556144420332907,0.7068039456018298
31,PLV,edges,13,14.0,P3,Pz,0.057914210164381474,1.269232125820862
31,PLV,ns,5,,F4,,0.11606989388799313,0.6799784319839248
31,PLV,ns,8,,C3,,0.12067275319491785,0.9440586732851853
34,PLV,edges,1,3.0,FP2,F3,0.14518454822951876,0.7354284760049635
34,PLV,edges,3,4.0,F3,Fz,0.035621903903116335,0.9456082944071326
34,PLV,edges,4,10.0,Fz,C4,0.1388248069335037,0.7939958797801423
34,PLV,edges,5,11.0,F4,T8,0.14702052655733377,0.9126305370926462
34,PLV,edges,6,10.0,F8,C4,0.1556202402240608,1.0866093807931032
34,PLV,edges,8,9.0,C3,Cz,0.07139953544818714,1.0061963650071764
34,PLV,edges,8,12.0,C3,P7,0.1237845692269579,1.4077292141692026
34,PLV,edges,8,13.0,C3,P3,0.06104386478233631,0.72574692356889
34,PLV,edges,8,14.0,C3,Pz,0.08511537161431237,0.9652860642819869
34,PLV,edges,9,10.0,Cz,C4,0.06822542202322478,0.8892897713164408
34,PLV,edges,9,13.0,Cz,P3,0.10368778469836795,1.0007818547584977
34,PLV,edges,9,15.0,Cz,P4,0.09138082480423972,0.7133756154483422
34,PLV,edges,10,15.0,C4,P4,0.05534118452524589,1.0421057893452323
34,PLV,edges,13,14.0,P3,Pz,0.05169635334301549,1.2475428389557388
34,PLV,edges,14,15.0,Pz,P4,0.043764229680772454,0.7660719987143731
34,PLV,edges,15,16.0,P4,P8,0.04778129649584257,0.9415286384125534
34,PLV,edges,15,17.0,P4,O1,0.1250851712361629,0.7648352491993426
34,PLV,edges,15,18.0,P4,O2,0.059340219334139535,1.3366097999274928
34,PLV,ns,15,,P4,,0.09350154152141996,1.2219211351365997
39,PLV,edges,0,1.0,FP1,FP2,0.08429206258745646,1.1291633709943938
39,PLV,edges,0,4.0,FP1,Fz,0.06239675024962668,1.098690041979149
39,PLV,edges,4,6.0,Fz,F8,0.08745146652651764,1.3464446423328835
39,PLV,edges,5,6.0,F4,F8,0.051323250462896625,1.2614667592448014
39,PLV,edges,5,9.0,F4,Cz,0.1127649448972238,1.5984738687583309
39,PLV,edges,5,10.0,F4,C4,0.11823731812974797,4.180780636638467
39,PLV,edges,8,9.0,C3,Cz,0.09927868389071436,1.24178578923976
39,PLV,edges,8,13.0,C3,P3,0.04942695028924246,1.3527324771754996
39,PLV,edges,8,14.0,C3,Pz,0.09470785659573677,1.08890552626278
39,PLV,edges,9,10.0,Cz,C4,0.07868268280011761,2.3902306900773063
39,PLV,edges,10,14.0,C4,Pz,0.09634737615475669,2.009345257748695
39,PLV,edges,14,15.0,Pz,P4,0.04740644207080273,1.2532836550665158
39,PLV,ns,4,,Fz,,0.08729774051732232,1.3914453525487052
39,PLV,ns,5,,F4,,0.09815870080253303,1.7743221887142049
1,ImagPLV,edges,1,11.0,FP2,T8,2.4491474819746974,0.9645143394398341
1,ImagPLV,edges,1,16.0,FP2,P8,1.879302369763543,0.7434494487111638
1,ImagPLV,edges,3,11.0,F3,T8,2.185545699875414,0.8324311748687114
1,ImagPLV,edges,4,17.0,Fz,O1,2.068177167251625,1.1878797067422167
1,ImagPLV,edges,5,15.0,F4,P4,2.229183703031035,0.7005578384141131
1,ImagPLV,edges,5,16.0,F4,P8,1.6036550123182494,1.6534319136494666
1,ImagPLV,edges,5,18.0,F4,O2,2.141096131513486,0.8945657924433901
1,ImagPLV,edges,8,12.0,C3,P7,1.8449217402936753,0.7400444287425528
1,ImagPLV,edges,8,16.0,C3,P8,1.743487785811681,0.7322585354097353
1,ImagPLV,edges,8,17.0,C3,O1,2.3352204892655974,0.7892105492037691
1,ImagPLV,edges,8,18.0,C3,O2,2.051727429024963,1.182161981281791
1,ImagPLV,edges,9,14.0,Cz,Pz,1.951453487642958,0.7066593155793766
1,ImagPLV,edges,9,16.0,Cz,P8,1.3633542950414381,0.7893437522103375
1,ImagPLV,edges,10,16.0,C4,P8,1.6507172404224137,0.9876763461162645
1,ImagPLV,edges,13,16.0,P3,P8,1.7534951251871576,0.7085160551672128
1,ImagPLV,edges,13,17.0,P3,O1,2.479971406774903,0.7824331851183735
1,ImagPLV,ns,14,,Pz,,0.4071503649154503,0.6185839982834767
2,ImagPLV,edges,0,3.0,FP1,F3,3.5532031916258022,0.8978417813196822
2,ImagPLV,edges,0,5.0,FP1,F4,3.8548776574439856,0.6542536674069694
2,ImagPLV,edges,0,12.0,FP1,P7,4.49265384179078,0.5895195755277066
2,ImagPLV,edges,0,14.0,FP1,Pz,3.8591010419242053,0.8402140836053379
2,ImagPLV,edges,0,15.0,FP1,P4,4.184404010735505,0.5705129410214809
2,ImagPLV,edges,2,7.0,F7,T7,3.641909912844432,0.6615131831358008
2,ImagPLV,edges,2,9.0,F7,Cz,3.09326796586307,0.822955767736051
2,ImagPLV,edges,2,12.0,F7,P7,3.8722069795561733,0.5647687369537967
2,ImagPLV,edges,2,16.0,F7,P8,5.636465176641456,0.7139018544681023
