subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count,mean_cv_edges,mean_cv_ns,mean_kl_edges,mean_kl_ns,cv,kl,frac_sd,rank_frac_sd,rank_kl,rank_cv,borda_score_subject,subject_rank
5,CMI,ns,19,30.0,70.0,6,6,2,0.36074413538151107,0.2971146022191635,0.7370014535229125,0.7313421598681584,0.2971146022191635,0.7313421598681584,0.10526315789473684,3.0,1.0,4.0,8.0,2.0
9,CMI,edges,171,30.0,70.0,52,52,13,0.4716797333692735,0.30490939779277737,0.6847377780628141,0.6355177190650074,0.4716797333692735,0.6847377780628141,0.07602339181286549,6.0,2.0,4.0,12.0,2.0
9,CMI,ns,19,30.0,70.0,6,6,2,0.4716797333692735,0.30490939779277737,0.6847377780628141,0.6355177190650074,0.30490939779277737,0.6355177190650074,0.10526315789473684,3.0,3.0,4.0,10.0,2.0
21,CMI,edges,171,30.0,70.0,52,52,10,0.2954051745556607,0.16644928752714902,0.5567284544186724,0.48918784100331847,0.2954051745556607,0.5567284544186724,0.05847953216374269,9.0,6.0,4.0,19.0,6.0
21,CMI,ns,19,30.0,70.0,6,6,2,0.2954051745556607,0.16644928752714902,0.5567284544186724,0.48918784100331847,0.16644928752714902,0.48918784100331847,0.10526315789473684,4.0,7.0,4.0,15.0,6.0
31,CMI,edges,171,30.0,70.0,52,52,13,0.3682677044976659,0.24138397785916035,0.6104048707722197,0.4804831040250746,0.3682677044976659,0.6104048707722197,0.07602339181286549,7.0,4.0,4.0,15.0,6.0
31,CMI,ns,19,30.0,70.0,6,6,2,0.3682677044976659,0.24138397785916035,0.6104048707722197,0.4804831040250746,0.24138397785916035,0.4804831040250746,0.10526315789473684,5.0,7.0,4.0,16.0,6.0
34,CMI,edges,171,30.0,70.0,52,52,16,0.3254290321547325,0.18623409831414203,0.6321490878104361,0.7255934140713258,0.3254290321547325,0.6321490878104361,0.0935672514619883,5.0,4.0,4.0,13.0,3.0
34,CMI,ns,19,30.0,70.0,6,6,1,0.3254290321547325,0.18623409831414203,0.6321490878104361,0.7255934140713258,0.18623409831414203,0.7255934140713258,0.05263157894736842,7.0,3.0,4.0,14.0,4.0
39,CMI,edges,171,30.0,70.0,52,52,14,0.31565037932671414,0.14995706091262512,0.7688506379880229,0.8258248625578706,0.31565037932671414,0.7688506379880229,0.08187134502923976,4.0,5.0,4.0,13.0,4.0
39,CMI,ns,19,30.0,70.0,6,6,3,0.31565037932671414,0.14995706091262512,0.7688506379880229,0.8258248625578706,0.14995706091262512,0.8258248625578706,0.15789473684210525,1.0,5.0,4.0,10.0,4.0
1,CFC,edges,171,30.0,70.0,52,52,14,0.6186940138554999,0.5098816814726193,0.6289147360641182,0.5817014666034948,0.6186940138554999,0.6289147360641182,0.08187134502923976,7.0,1.0,5.0,13.0,3.0
1,CFC,ns,19,30.0,70.0,6,6,1,0.6186940138554999,0.5098816814726193,0.6289147360641182,0.5817014666034948,0.5098816814726193,0.5817014666034948,0.05263157894736842,5.0,1.0,9.0,15.0,6.0
2,CFC,edges,171,30.0,70.0,52,52,29,0.9544609000896273,0.8478984469269027,0.3636354005086062,0.32210660034464933,0.9544609000896273,0.3636354005086062,0.1695906432748538,1.0,9.0,7.0,17.0,5.0
2,CFC,ns,19,30.0,70.0,6,6,3,0.9544609000896273,0.8478984469269027,0.3636354005086062,0.32210660034464933,0.8478984469269027,0.32210660034464933,0.15789473684210525,3.0,9.0,9.0,21.0,8.0
5,CFC,edges,171,30.0,70.0,52,52,18,0.7482912508892503,0.6766772478106362,0.6248935278081624,0.596742033827702,0.7482912508892503,0.6248935278081624,0.10526315789473684,1.0,5.0,5.0,11.0,3.0
5,CFC,ns,19,30.0,70.0,6,6,2,0.7482912508892503,0.6766772478106362,0.6248935278081624,0.596742033827702,0.6766772478106362,0.596742033827702,0.10526315789473684,3.0,4.0,9.0,16.0,5.0
9,CFC,edges,171,30.0,70.0,52,52,9,0.7807378026451672,0.6467146938487073,0.7445782836518712,0.7379063159079662,0.7807378026451672,0.7445782836518712,0.05263157894736842,9.0,1.0,7.0,17.0,8.0
9,CFC,ns,19,30.0,70.0,6,6,2,0.7807378026451672,0.6467146938487073,0.7445782836518712,0.7379063159079662,0.6467146938487073,0.7379063159079662,0.10526315789473684,3.0,1.0,9.0,13.0,4.0
21,CFC,edges,171,30.0,70.0,52,52,13,0.5760596362659791,0.35421676673786273,0.5804628152938515,0.552585294253808,0.5760596362659791,0.5804628152938515,0.07602339181286549,5.0,4.0,5.0,14.0,4.0
21,CFC,ns,19,30.0,70.0,6,6,1,0.5760596362659791,0.35421676673786273,0.5804628152938515,0.552585294253808,0.35421676673786273,0.552585294253808,0.05263157894736842,8.0,4.0,5.0,17.0,7.0
31,CFC,edges,171,30.0,70.0,52,52,14,0.600100132746838,0.42289753103017835,0.6157590720755564,0.6969281630412493,0.600100132746838,0.6157590720755564,0.08187134502923976,6.0,2.0,5.0,13.0,2.0
31,CFC,ns,19,30.0,70.0,6,6,3,0.600100132746838,0.42289753103017835,0.6157590720755564,0.6969281630412493,0.42289753103017835,0.6969281630412493,0.15789473684210525,2.0,1.0,6.0,9.0,2.0
34,CFC,edges,171,30.0,70.0,52,52,16,0.5560836358656702,0.3274326090582887,0.5825088981188529,0.5776996617253233,0.5560836358656702,0.5825088981188529,0.0935672514619883,5.0,6.0,5.0,16.0,6.0
34,CFC,ns,19,30.0,70.0,6,6,2,0.5560836358656702,0.3274326090582887,0.5825088981188529,0.5776996617253233,0.3274326090582887,0.5776996617253233,0.10526315789473684,3.0,8.0,5.0,16.0,5.0
39,CFC,edges,171,30.0,70.0,52,52,17,0.5584630975647694,0.3357827297290742,0.6027790435469613,0.8347458406503945,0.5584630975647694,0.6027790435469613,0.09941520467836257,1.0,7.0,5.0,13.0,4.0
39,CFC,ns,19,30.0,70.0,6,6,2,0.5584630975647694,0.3357827297290742,0.6027790435469613,0.8347458406503945,0.3357827297290742,0.8347458406503945,0.10526315789473684,3.0,4.0,5.0,12.0,5.0
